class,id,name,rarity,cost,inactive,category,condition,trigger,trigger_scope,action,action_scope,modifier,tradeoff,meta_system,meta_when,description,notes
sticker,rankUp,+1 Rank,c,1,false,DEAL,NONE,on apply (setup),pile,change card identity (rank),deck,NONE,NONE,,,+1 card rank (stops at Ace),setup tool: the decision is WHICH card
sticker,rankDown,−1 Rank,c,1,false,DEAL,NONE,on apply (setup),pile,change card identity (rank),deck,NONE,NONE,,,-1 card rank (stops at 2),setup tool: the decision is WHICH card
sticker,rankUp2,+2 Rank,u,2,false,DEAL,NONE,on apply (setup),pile,change card identity (rank),deck,NONE,NONE,,,+2 card rank (stops at Ace),setup tool: the decision is WHICH card
sticker,rankDown2,−2 Rank,u,2,false,DEAL,NONE,on apply (setup),pile,change card identity (rank),deck,NONE,NONE,,,-2 card rank (stops at 2),setup tool: the decision is WHICH card
sticker,randomFixedValue,Random Rank,c,1,false,DEAL,NONE,on apply (setup),pile,change card identity (rank),deck,NONE,NONE,,,Change to random rank,setup tool: the decision is WHICH card
sticker,changeSuitRandom,Random Suit,c,1,false,DEAL,NONE,on apply (setup),pile,change card identity (suit),deck,NONE,NONE,,,Change to random suit,setup tool: the decision is WHICH card
sticker,changeSuitSpade,Change to ♠,c,1,false,DEAL,NONE,on apply (setup),pile,change card identity (suit),deck,NONE,NONE,,,Change suit to ♠,setup tool: the decision is WHICH card
sticker,changeSuitHeart,Change to ♥,c,1,false,DEAL,NONE,on apply (setup),pile,change card identity (suit),deck,NONE,NONE,,,Change suit to ♥,setup tool: the decision is WHICH card
sticker,changeSuitDiamond,Change to ♦,c,1,false,DEAL,NONE,on apply (setup),pile,change card identity (suit),deck,NONE,NONE,,,Change suit to ♦,setup tool: the decision is WHICH card
sticker,changeSuitClub,Change to ♣,c,1,false,DEAL,NONE,on apply (setup),pile,change card identity (suit),deck,NONE,NONE,,,Change suit to ♣,setup tool: the decision is WHICH card
sticker,tieSafe,Same-Safe,c,2,false,DEAL,board: matching top (rank),card lands,pile,safety/save,pile,NONE,curse a card,,,If another pile's top card matches this rank → Safe / If no pile's top card matches this rank → Sticker becomes cursed,converts on a missed bet (any landing)
sticker,suitImmunity,Guard,u,5,false,DEAL,board: matching top (suit),card lands,pile,safety/save,pile,NONE,curse a card,,,If another pile's top card matches this card's suit → this card is safe when it lands. / If none does → this sticker becomes a curse,carrier-only; exempt = no save
sticker,extraCoin,Payout,u,3,false,DEAL,NONE,deal end,pile,earn coins,pile,# cards in pile,curse a card,,,At deal end if this card tops its pile → earn coins equal to pile size. / Any card played on top of this card is cursed,cover punish curses the card played onto it
sticker,gainCoin,Bonus Coin,u,2,false,DEAL,board: matching top (suit),card lands,pile,earn coins,board,# piles with suit,curse a card,,,If another pile's top card matches this card's suit → +1 coin per pile whose top card matches. / If none does → this sticker becomes a curse,
sticker,anchor,Anchor,c,2,false,DEAL,NONE,deal end,pile,score exclusion,pile,NONE,curse a card,,,At deal end if this card tops its pile → exclude the pile from the smallest-pile score. / Any card played on top of this card is cursed,cover punish
sticker,heavy,Heavy,u,1,false,DEAL,board: matching top (suit),card lands,pile,pile size,board,# piles with suit,curse a card,,,"If another pile's top card matches this card's suit → +1 pile size to every pile whose top matches, including this one. / If none does → this sticker becomes a curse",
sticker,donate,Donate,u,1,false,DEAL,board: matching top (suit),card lands,pile,redistribute,board,NONE,curse a card,,,If another pile's top card matches this card's suit → make all pile sizes equal. / If none does → this sticker becomes a curse,
sticker,quickBury,Quick Bury,u,7,false,DEAL,board: matching top (suit),card lands,pile,bury,pile,NONE,curse a card,,,If another pile's top card matches this card's suit → bury 1 card under this pile. / If none does → this sticker becomes a curse,
sticker,twinSpark,Twin Spark,u,3,false,DEAL,board: matching top (rank),card lands,pile,peek,deck,NONE,NONE,,,Peek at the next card if another pile's top card matches this rank,held-back rank conditional: never converts
sticker,pillarScout,Pillar Scout,u,2,false,DEAL,loadout: missing pillar (column),card lands,pile,peek,deck,NONE,curse a card,,,If this column has no Pillar → peek at the next card. / If it has one → this sticker becomes a curse,converts on a FILLED slot
sticker,baseScout,Base Scout,u,2,false,DEAL,loadout: missing base (column),card lands,pile,peek,deck,NONE,curse a card,,,If this column has no Base → peek at the next card. / If it has one → this sticker becomes a curse,converts on a FILLED slot
sticker,diamondSnob,Ripple,u,6,false,DEAL,board: matching top (suit),card lands,pile,shuffle,board,# piles with suit,curse a card,,,If another pile's top card matches this card's suit → optionally shuffle those piles. / If none does → this sticker becomes a curse,"offered, not forced"
sticker,tell,Tell,u,4,false,DEAL,board: matching top (suit),card lands,pile,tell,pile,NONE,curse a card,,,"If another pile's top card matches this card's suit → this card shows a tell (higher, lower, or same) for the next draw. / If none does → this sticker becomes a curse",
sticker,rechargeSameShield,Recharge Shield,r,8,false,DEAL,board: matching top (rank),card lands,pile,charge shield/power,board,NONE,curse a card,,,If another pile's top card matches this rank → Charge Same Shield / If no pile's top card matches this rank → Sticker becomes cursed,v6.90: rank conditional — converts on a miss
sticker,activateSamePower,Tap Power,r,6,false,DEAL,board: matching top (rank),card lands,pile,charge shield/power,board,NONE,curse a card,,,If another pile's top card matches this rank → Fire Same Power / If no pile's top card matches this rank → Sticker becomes cursed,v6.90: rank conditional; fed bet + no power = quiet no-op
pillar,heartBounty,Heart Bounty,u,5,false,DEAL,NONE,specific suit lands,column,earn coins,column,NONE,NONE,,,When a ♥ lands in this column → +1 coin,
pillar,columnTieSafe,Column Tie-Safe,r,10,false,DEAL,NONE,card lands,column,safety/save,column,NONE,NONE,,,Any tie is safe in this column,"any tie safe, unconditional"
pillar,lastLicks,Last Licks,u,4,false,DEAL,board: no pile survived (column),deal end,column,earn coins,column,NONE,NONE,,,At deal end → +3 coins if no pile in this column survived,
pillar,columnGuardian,Column Guardian,u,4,false,DEAL,board: every pile survived (column),deal end,column,earn coins,column,NONE,NONE,,,At deal end → +4 coins if every pile in this column survived,
pillar,envy,Envy,c,4,false,DEAL,NONE,deal end,column,earn coins,column,# piles with suit,NONE,,,At deal end → +2 coins per pile in this column with a ♥ top card,
pillar,streakBank,Streak Size,r,4,false,DEAL,NONE,correct-guess streak (column),column,pile size,column,# streak length,NONE,,,From the 3rd consecutive correct guess in this column → +1 pile size per guess. Resets on a wrong guess or any guess in another column,resets on wrong/other-column guess
pillar,streakTribute,Streak Bury,r,10,false,DEAL,NONE,correct-guess streak (column),column,bury,column,# streak length,NONE,,,From the 4th consecutive correct guess in this column → bury 1 card per guess. Resets on a wrong guess or any guess in another column,
pillar,fourthSeat,Fourth Seat,r,10,false,DEAL,NONE,deal start,column,extra pile,column,NONE,NONE,,,This column starts the deal with 1 extra pile (up to 4),
pillar,secondWind,Second Wind,r,6,false,DEAL,NONE,pile died,column,revive,column,NONE,return cards to deck,,,"Each pile that dies in this column has a 25% chance to be saved, but all the buried cards return to the deck",25% chance per death
pillar,greedy,Greedy,c,5,false,DEAL,loadout: only equipped pillar,deal end,column,earn coins,column,NONE,NONE,,,At deal end → +4 coins if this is the only equipped pillar,
pillar,denseBury,Dense Bury,r,10,false,DEAL,card: 3+ stickers on lander,specific suit lands,column,bury,pile,NONE,NONE,,,When a ♣ with 3+ stickers lands correctly in this column → bury 1 card under that pile,
pillar,revive,Revive,r,10,false,DEAL,NONE,pile reaches N cards,column,revive,column,NONE,NONE,,,Revive a random dead pile in this column. Buried cards return to the deck,one-shot per deal
